"treatment_id","subject_id","paper_id","gender","age","scenarios","KW_Normative","Game_type","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal","Design"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,4,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,6,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,7,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,8,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,9,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,10,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,2,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,8,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,23,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,3,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,6,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,7,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,8,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,9,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abco29","2020Bas115",1,25,10,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,2,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,8,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abdo25","2020Bas115",1,24,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,5,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,6,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,7,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,8,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abju25","2020Bas115",0,30,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,6,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,7,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,8,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,9,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,27,10,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,5,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,8,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,28,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,1,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,2,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,3,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,4,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,6,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,7,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,8,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,9,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abwt17","2020Bas115",0,25,10,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,1,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,2,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,3,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,8,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,3,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,6,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,7,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,8,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,9,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,10,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,3,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,6,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,7,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,8,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,9,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,10,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,2,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,3,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,7,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,8,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,9,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,10,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,3,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,6,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,7,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,8,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,9,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,10,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,1,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,2,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,3,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,8,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,3,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,5,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,6,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,7,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,8,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,2,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,4,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,6,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,7,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,8,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,9,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,10,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,1,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,3,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,6,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,7,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,8,-0.3,"DG",NA,NA,NA,NA,"Within"
